institution_id,org_name,Female,Male,Unknown,classified,total,female_name_share,unknown_name_share,female_name_ci_low,female_name_ci_high
grid.1001.0,Australian National University,2.030244490875212,4.1431078181078185,2.6092198581560284,6.173352308983031,8.782572167139058,32.887228676726295,29.70906254455507,,
grid.1002.3,Monash University,12.283544548314456,21.591072708479327,22.231266958033554,33.87461725679378,56.10588421482734,36.2617958313637,39.623770784737765,,
grid.10025.36,University of Liverpool,7.256020953008302,16.4870536145761,7.501798276304627,23.743074567584404,31.24487284388903,30.560578548300967,24.00969373050866,,
grid.1003.2,University of Queensland,38.506224572514796,43.81732917566315,48.7555715196896,82.32355374817794,131.07912526786754,46.77424967622593,37.19552706813908,,
grid.1004.5,Macquarie University,1.1070833333333332,2.0194328031510236,0.312274531024531,3.126516136484357,3.4387906675088877,35.40948726969324,9.080940400793498,,
grid.10041.34,University of La Laguna,0.4756053737284387,0.27501742323723743,0.03571428571428571,0.7506227969656761,0.7863370826799618,63.361434751386426,4.541854441426792,,
grid.10049.3c,University of Limerick,0.08362369337979093,0.508531131750946,0.725,0.5921548251307369,1.317154825130737,14.12193058822553,55.04288381041603,,
grid.1005.4,UNSW Sydney,11.2732446117161,19.709470496700614,14.9460384851197,30.982715108416713,45.92875359353641,36.385592974237525,32.54178987174402,,
grid.1006.7,Newcastle University,13.543195846250955,16.45327804477863,5.59461137198017,29.996473891029588,35.59108526300976,45.14929286505583,15.71913677438411,,
grid.1007.6,University of Wollongong,0.3810390121110383,0.24682860998650474,0.07692307692307693,0.627867622097543,0.7047906990206199,60.68779448095854,10.914314991666258,,
grid.1008.9,University of Melbourne,14.199102382913699,24.076026872194664,21.87847938003344,38.27512925510836,60.1536086351418,37.097464226116564,36.37101726138506,,
grid.1009.8,University of Tasmania,2.3851411555617617,5.676229389614045,6.4933385993355595,8.061370545175807,14.554709144511367,29.5872909227465,44.613317482776495,,
grid.10097.3f,Barcelona Supercomputing Center,1.1278471618380899,1.355888070063241,0.3992031332946397,2.483735231901331,2.8829383651959706,45.40931526645489,13.847092192950972,,
grid.1011.1,James Cook University,0.6407563025210083,0.42698514666055576,0.14285714285714285,1.0677414491815642,1.210598592038707,60.010436329146465,11.800537667614867,,
grid.1012.2,University of Western Australia,2.4013358388663533,7.077066506744,1.9735313506924037,9.478402345610354,11.451933696302758,25.334816473352834,17.233171296909934,,
grid.1013.3,The University of Sydney,16.41443962183514,41.82855934206463,17.966243210332163,58.242998963899765,76.20924217423193,28.182682749576742,23.574887635356852,,
grid.1014.4,Flinders University,1.7564447627910542,3.82054082930913,1.5248505524317302,5.5769855921001845,7.101836144531915,31.494518567146077,21.471215632112187,,
grid.1016.6,Commonwealth Scientific and Industrial Research Organisation,0.6354166666666666,1.9377319218409643,0.59375,2.573148588507631,3.166898588507631,24.694130354718233,18.748626879138516,,
grid.1017.7,RMIT University,0.15125861155272918,0.3627450980392157,0.0,0.5140037095919449,0.5140037095919449,29.42753305667964,0.0,,
grid.1018.8,La Trobe University,0.48110613810741687,1.0289350355526827,1.4562229437229437,1.5100411736600996,2.9662641173830435,31.860464899860457,49.09282808597913,,
grid.1019.9,Victoria University,0.0,0.019736842105263157,0.06666666666666667,0.019736842105263157,0.08640350877192982,0.0,77.15736040609139,,
grid.1020.3,University of New England,0.0,1.5968774395003902,1.8855711683580536,1.5968774395003902,3.482448607858444,0.0,54.14498189874506,,
grid.1021.2,Deakin University,8.50214219755294,8.127359974796503,3.81019536019536,16.629502172349444,20.439697532544805,51.126859417895275,18.641153344508318,,
grid.10215.37,University of Malaga,0.0,0.15896279175940192,0.11764705882352941,0.15896279175940192,0.2766098505829313,0.0,42.53176760538297,,
grid.1022.1,Griffith University,0.08030900943578925,0.205317829868942,0.125,0.28562683930473126,0.41062683930473126,28.11675878614079,30.441263949440955,,
grid.10223.32,Mahidol University,0.08333333333333333,0.0,1.9492013330588391,0.08333333333333333,2.0325346663921726,99.99999999999999,95.90002892884218,,
grid.1023.0,Central Queensland University,0.0,0.3441849816849817,0.0,0.3441849816849817,0.3441849816849817,0.0,0.0,,
grid.1024.7,Queensland University of Technology,2.698024475356528,5.028600668762322,2.7450262817464184,7.7266251441188505,10.471651425865268,34.9185372013309,26.21388136513146,,
grid.1025.6,Murdoch University,1.1132679864353376,0.7411725872161499,0.0007451564828614009,1.8544405736514875,1.8551857301343488,60.0325511775908,0.04016613920415602,,
