community,modal_for_l2,n_authors,group_authors,author_share,rank
1,Biological Sciences,4602,6959,0.6613019111941371,1
1,Biomedical and Clinical Sciences,1755,6959,0.25219140681132346,2
1,Health Sciences,468,6959,0.06725104181635293,3
1,Psychology,93,6959,0.013363989078890645,4
1,Information and Computing Sciences,16,6959,0.0022991809167983907,5
1,Human Society,10,6959,0.0014369880729989942,6
1,"Agricultural, Veterinary and Food Sciences",9,6959,0.0012932892656990947,7
1,Mathematical Sciences,5,6959,0.0007184940364994971,8
1,Economics,1,6959,0.00014369880729989942,9
2,Biomedical and Clinical Sciences,2308,3657,0.6311184030626197,1
2,Biological Sciences,1045,3657,0.2857533497402242,2
2,Health Sciences,285,3657,0.07793273174733388,3
2,Mathematical Sciences,10,3657,0.0027344818156959257,4
2,Information and Computing Sciences,4,3657,0.0010937927262783702,5
2,"Agricultural, Veterinary and Food Sciences",3,3657,0.0008203445447087777,6
2,Built Environment and Design,1,3657,0.00027344818156959256,7
2,Engineering,1,3657,0.00027344818156959256,8
3,Biomedical and Clinical Sciences,860,2646,0.3250188964474679,1
3,Psychology,807,2646,0.30498866213151926,2
3,Biological Sciences,579,2646,0.21882086167800455,3
3,Health Sciences,204,2646,0.07709750566893424,4
3,Information and Computing Sciences,132,2646,0.049886621315192746,5
3,Physical Sciences,25,2646,0.00944822373393802,6
3,Mathematical Sciences,17,2646,0.006424792139077854,7
3,Engineering,14,2646,0.005291005291005291,8
3,Education,7,2646,0.0026455026455026454,9
3,Earth Sciences,1,2646,0.0003779289493575208,10
4,Biological Sciences,1813,2207,0.8214771182600815,1
4,Biomedical and Clinical Sciences,216,2207,0.0978704123244223,2
4,Health Sciences,178,2207,0.08065246941549614,3
5,Biological Sciences,996,2086,0.47746883988494726,1
5,Biomedical and Clinical Sciences,839,2086,0.40220517737296263,2
5,Health Sciences,194,2086,0.09300095877277086,3
5,"Agricultural, Veterinary and Food Sciences",28,2086,0.013422818791946308,4
5,Psychology,23,2086,0.01102588686481304,5
5,Mathematical Sciences,6,2086,0.0028763183125599234,6
6,Biomedical and Clinical Sciences,974,1948,0.5,1
6,Biological Sciences,710,1948,0.364476386036961,2
