researcher_id,coauthor_count,shared_paper_strength,fractional_collaboration_strength,component,component_size,in_giant_component,community
ur.010004125325.23,7,7.0,0.99999994,12,55,False,83
ur.010004133657.18,77,129.0,3.9999995,0,59091,True,11
ur.010004166476.90,1570,1570.0,1.0000001,0,59091,True,5
ur.01000423550.13,8,8.0,0.99999994,0,59091,True,1
ur.010004264173.19,3,3.0,0.99999994,13,4,False,1021
ur.010004315005.32,4,4.0,1.0,14,5,False,997
ur.010004343466.14,5,5.0,0.99999994,0,59091,True,1
ur.01000437634.10,75,75.0,1.0,0,59091,True,1
ur.01000441367.87,9,9.0,1.0000001,0,59091,True,411
ur.010004416566.32,88,88.0,1.0,0,59091,True,10
ur.010004502547.28,9,9.0,1.0000001,0,59091,True,37
ur.01000452455.11,0,0.0,0.0,15,1,False,1708
ur.010004537307.27,28,28.0,0.9999999,0,59091,True,6
ur.010004613720.70,6,9.0,2.0,16,12,False,238
ur.01000464364.02,24,27.0,3.0,0,59091,True,46
ur.010004666506.88,3,3.0,0.99999994,0,59091,True,3
ur.010004727325.19,12,12.0,0.9999999,0,59091,True,47
ur.010005001115.45,6,6.0,1.0,0,59091,True,28
ur.010005031427.24,194,194.0,1.0,0,59091,True,1
ur.01000510601.78,116,170.0,8.999999,0,59091,True,1
ur.01000510725.10,91,91.0,1.0,0,59091,True,1
ur.01000520307.44,39,46.0,2.9999998,0,59091,True,52
ur.01000525635.82,5,5.0,0.99999994,17,6,False,793
ur.010005257666.53,20,20.0,1.0,0,59091,True,6
ur.01000542714.25,61,81.0,5.0000005,0,59091,True,14
ur.010005471257.76,2,2.0,0.99999994,18,3,False,1382
ur.01000554045.54,19,19.0,0.9999999,0,59091,True,29
ur.010005545603.01,14,21.0,2.0,0,59091,True,13
ur.010005561704.35,18,26.0,3.0000002,0,59091,True,34
ur.010005602115.28,11,16.0,1.9999999,0,59091,True,37
ur.01000560547.16,28,55.0,1.9999999,0,59091,True,10
ur.010005606655.09,21,44.0,3.9999995,0,59091,True,12
ur.010005650561.45,29,42.0,2.9999998,0,59091,True,29
