year,observed_entities,cumulative_entities,geolocated_fractional_credit,hhi,effective_entities,top_1_share,top_10_share
2013,4,4,5.0,0.625,1.942968166886431,76.42857142857142,99.99999999999999
2014,13,13,26.565517241379307,0.5464977609308181,2.9312162202617613,72.88600475905773,99.64489689956979
2015,29,34,60.44179916580723,0.551873001402085,3.256489403252791,73.57181738773532,97.36614274902506
2016,40,46,156.86378314050143,0.5220783764716411,3.4043704207442733,70.74454866325277,95.96695625757536
2017,55,61,304.3196208583965,0.3395486178599768,5.532402673042663,53.81361043043415,92.92180104255938
2018,59,73,595.6184415646836,0.2754299080386295,6.569395964482825,43.856312595042304,91.37338313598565
2019,69,84,999.1520335407413,0.25358516270696746,7.152544283255095,40.09145468515208,91.47120067102709
2020,71,91,1607.2600181514267,0.22969949397410364,7.904417153566622,34.55853701055025,90.40297772395218
2021,88,104,2236.140082618146,0.1973341649667778,8.90563838920576,30.82686615191094,90.1768667988571
2022,89,112,2718.0712218990693,0.18719154869891935,8.806532178002152,26.02757483874821,90.24371347537789
2023,84,117,3612.439120892271,0.1896189931444775,9.05528407567775,29.962442148133313,89.56208808363584
2024,98,126,4847.516259737248,0.23430597846901685,7.76579929132379,40.382574348793774,90.78918823568533
2025,99,135,5746.581239854969,0.24910556204980938,7.510819565860459,43.34369667653925,90.6595196357978
