plot_node,group_authors,leading_value,leading_value_authors,leading_value_share,top_three
Community 1,6891,Genetics,3481,0.5051516470758961,"Genetics (3481, 50.5%); Epidemiology (1130, 16.4%); Clinical Sciences (620, 9.0%)"
Community 10,1599,Clinical Sciences,350,0.2188868042526579,"Clinical Sciences (350, 21.9%); Genetics (333, 20.8%); Epidemiology (274, 17.1%)"
Community 11,1580,Ophthalmology and Optometry,593,0.37531645569620253,"Ophthalmology and Optometry (593, 37.5%); Genetics (280, 17.7%); Clinical Sciences (149, 9.4%)"
Community 12,1564,Biological Psychology,396,0.2531969309462916,"Biological Psychology (396, 25.3%); Clinical Sciences (389, 24.9%); Epidemiology (164, 10.5%)"
Community 2,3646,Oncology and Carcinogenesis,1113,0.3052660449808009,"Oncology and Carcinogenesis (1113, 30.5%); Genetics (985, 27.0%); Epidemiology (623, 17.1%)"
Community 3,3236,Genetics,1101,0.34023485784919655,"Genetics (1101, 34.0%); Epidemiology (675, 20.9%); Cardiovascular Medicine and Haematology (541, 16.7%)"
Community 4,2581,Biological Psychology,1355,0.5249903138318481,"Biological Psychology (1355, 52.5%); Genetics (344, 13.3%); Clinical Sciences (240, 9.3%)"
Community 5,2201,Genetics,1009,0.45842798727850975,"Genetics (1009, 45.8%); Epidemiology (842, 38.3%); Health Services and Systems (163, 7.4%)"
Community 6,1963,Clinical Sciences,591,0.3010697911360163,"Clinical Sciences (591, 30.1%); Cardiovascular Medicine and Haematology (480, 24.5%); Genetics (231, 11.8%)"
Community 7,1754,Genetics,870,0.4960091220068415,"Genetics (870, 49.6%); Cardiovascular Medicine and Haematology (166, 9.5%); Epidemiology (153, 8.7%)"
Community 8,1748,Clinical Sciences,656,0.37528604118993136,"Clinical Sciences (656, 37.5%); Genetics (322, 18.4%); Epidemiology (272, 15.6%)"
Community 9,1609,Epidemiology,495,0.307644499689248,"Epidemiology (495, 30.8%); Clinical Sciences (337, 20.9%); Genetics (301, 18.7%)"
Other communities,38865,Clinical Sciences,9019,0.23205969381191302,"Clinical Sciences (9019, 23.2%); Epidemiology (7387, 19.0%); Genetics (5403, 13.9%)"
