iso3,country,Female,Male,Unknown,classified,total,female_name_share,unknown_name_share,female_name_ci_low,female_name_ci_high
ARE,United Arab Emirates,5.7121663059163055,5.485494557012919,0.15476190476190477,11.197660862929226,11.352422767691131,51.01213883720037,1.363250012167935,,
ARG,Argentina,1.5035200283605763,3.25229851855181,0.0,4.755818546912386,4.755818546912386,31.614327029711944,0.0,,
ARM,Armenia,0.008849557522123894,0.0,0.0,0.008849557522123894,0.008849557522123894,100.0,0.0,,
ATG,Antigua and Barbuda,0.2,0.0,0.0,0.2,0.2,100.0,0.0,,
AUS,Australia,250.56517390656478,423.91763526139374,136.19910758300978,674.4828091679585,810.6819167509683,37.14923056610765,16.800560709293396,,
AUT,Austria,14.216938298605847,21.631568353678947,2.329380053496131,35.8485066522848,38.17788670578093,39.65838364343618,6.101385525730041,,
BEL,Belgium,11.126946556313944,16.41529942811399,3.836519487240137,27.542245984427936,31.378765471668075,40.3995613233757,12.226483195153536,,
BFA,Burkina Faso,0.011904761904761904,0.1969187675070028,0.18936847466259232,0.20882352941176469,0.398192004074357,5.700871898054997,47.557076165504895,,
BGD,Bangladesh,0.08901515151515152,2.197377595296379,0.3555555555555555,2.2863927468115306,2.641948302367086,3.893257255967368,13.458081493759401,,
BGR,Bulgaria,0.1243852007757919,0.12067210382953875,0.0,0.24505730460533065,0.24505730460533065,50.75759768765782,0.0,,
BHR,Bahrain,0.0,0.2,0.0,0.2,0.2,0.0,0.0,,
BHS,Bahamas,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.5454545454545454,50.0,33.333333333333336,,
BIH,Bosnia and Herzegovina,0.3486509732779247,0.16714230959719595,0.0,0.5157932828751206,0.5157932828751206,67.59509765898542,0.0,,
BLR,Belarus,0.07229163002240989,0.0,0.0,0.07229163002240989,0.07229163002240989,100.0,0.0,,
BOL,Bolivia,0.8333333333333333,0.9301075268817204,0.0,1.7634408602150535,1.7634408602150535,47.25609756097561,0.0,,
BRA,Brazil,15.906581944252737,15.964686309505208,2.735869575212403,31.871268253757947,34.60713782897035,49.90884522575342,7.905506629103982,,
BRB,Barbados,0.0,0.17540052489862581,0.0,0.17540052489862581,0.17540052489862581,0.0,0.0,,
BRN,Brunei,0.0,0.36507936507936506,0.0,0.36507936507936506,0.36507936507936506,0.0,0.0,,
BWA,Botswana,0.0,0.125,0.09375,0.125,0.21875,0.0,42.857142857142854,,
CAN,Canada,180.01530378129846,330.20891503647266,67.18305551636905,510.2242188177711,577.4072743341401,35.281607015521104,11.635297735700306,,
CHE,Switzerland,54.07564201418325,99.9732121502194,6.340368930966432,154.04885416440266,160.3892230953691,35.10291738780032,3.953114061283521,,
CHL,Chile,5.833515166252011,13.909127530224028,0.7387155945834954,19.74264269647604,20.481358291059536,29.54779284585474,3.6067705280365003,,
CHN,China,1513.9245330007695,1581.1377050387118,3434.1837629955685,3095.0622380394816,6529.24600103505,48.9141870684882,52.596942471629404,,
CMR,Cameroon,0.0,0.35,0.0625,0.35,0.4125,0.0,15.151515151515152,,
COG,Republic of the Congo,0.0,0.0,0.0625,0.0,0.0625,,100.0,,
COL,Colombia,1.0546722023596562,3.409975504239129,0.0,4.464647706598785,4.464647706598785,23.622741852640292,0.0,,
CRI,Costa Rica,0.05615738428238429,0.5883116883116883,0.07142857142857142,0.6444690725940726,0.715897644022644,8.713743866147595,9.977483796037205,,
CUB,Cuba,0.0,0.05555555555555555,0.014851485148514853,0.05555555555555555,0.0704070407040704,0.0,21.093750000000004,,
CYP,Cyprus,0.3295793358598171,0.5998606644747465,0.08333333333333333,0.9294400003345635,1.0127733336678968,35.45999050408643,8.22823138831374,,
CZE,Czechia,1.5593603479682714,1.4666465998956106,0.6128787403888601,3.0260069478638822,3.6388856882527425,51.531948697905484,16.842484015570758,,
DEU,Germany,172.50081623646366,367.4328597621415,48.07277882725796,539.9336759986052,588.0064548258631,31.948519587600103,8.175552909788145,,
DNK,Denmark,73.80251446336219,173.85208854549995,12.647409632466236,247.65460300886213,260.30201264132836,29.80058257214029,4.858744465373448,,
DOM,Dominican Republic,0.03333333333333333,0.06666666666666667,0.0,0.1,0.1,33.333333333333336,0.0,,
DZA,Algeria,0.0,0.010752688172043012,0.0,0.010752688172043012,0.010752688172043012,0.0,0.0,,
ECU,Ecuador,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,,
EGY,Egypt,1.1054537444653825,1.8063275567708623,1.2168789342702386,2.911781301236245,4.128660235506484,37.96486171526838,29.47394226836779,,
ESP,Spain,65.1647834696212,83.85103619581768,8.843164746310324,149.01581966543887,157.8589844117492,43.73011108211541,5.601939464683482,,
EST,Estonia,20.767285249882832,28.063673838773703,3.6675821432282243,48.830959088656535,52.49854123188476,42.52893172173448,6.9860648642189975,,
ETH,Ethiopia,0.0,3.8661796536796538,0.6222222222222222,3.8661796536796538,4.488401875901876,0.0,13.862890165047801,,
FIN,Finland,65.62099743233144,94.99926961920532,21.49115520590327,160.62026705153676,182.11142225744004,40.854743076274566,11.801102280955506,,
FJI,Fiji,0.18181818181818182,0.20681818181818182,0.0,0.38863636363636367,0.38863636363636367,46.78362573099415,0.0,,
FRA,France,70.5771331923213,158.05009551653646,9.835767411770313,228.62722870885776,238.46299612062808,30.869959624186667,4.124651443528297,,
FRO,Faroe Islands,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,,100.0,,
GBR,United Kingdom,1701.8769250193736,2952.8774975011065,527.0668175377032,4654.75442252048,5181.821240058183,36.56212058761701,10.171458896790988,,
GEO,Georgia,0.4666666666666667,0.2,0.3333333333333333,0.6666666666666667,1.0,69.99999999999999,33.33333333333333,,
GHA,Ghana,0.34615856651939125,2.10224800940271,0.312960235640648,2.4484065759221014,2.761366811562749,14.138116190487011,11.333526365645476,,
GMB,Gambia,0.25510204081632654,0.5768433179723502,0.14285714285714285,0.8319453587886767,0.9748025016458195,30.663316781736537,14.654983200796908,,
GRC,Greece,13.971834401336649,26.892802106699445,2.815350581018459,40.86463650803609,43.67998708905455,34.19052656589535,6.445401586952248,,
GRD,Grenada,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,,
GRL,Greenland,0.19023199023199022,0.0,0.0,0.19023199023199022,0.19023199023199022,100.0,0.0,,
HRV,Croatia,1.6378148952867637,1.5830714988275216,0.16666666666666666,3.2208863941142853,3.387553060780952,50.84981880390562,4.919972135528529,,
HTI,Haiti,0.0,0.0625,0.0,0.0625,0.0625,0.0,0.0,,
HUN,Hungary,13.678332351892031,16.35109861932341,0.6207473082473083,30.02943097121544,30.65017827946275,45.54975538831664,2.025264918812045,,
IDN,Indonesia,2.158333333333333,0.4946389209152443,1.523664440739942,2.6529722542485774,4.176636694988519,81.35529234717364,36.480655417507656,,
IND,India,10.90215364966404,18.760599856163623,17.295522486694836,29.662753505827663,46.9582759925225,36.75368049538004,36.831681149131036,,
IRL,Ireland,21.656782498383468,21.540136623756606,3.3745702520782643,43.19691912214007,46.57148937421834,50.13501642825157,7.246000283483318,,
IRN,Iran,3.631014335224008,13.342827777976373,1.0839563214563215,16.97384211320038,18.0577984346567,21.391823436369812,6.0027047337951345,,
IRQ,Iraq,0.6666666666666666,0.9662573537573538,0.0,1.6329240204240203,1.6329240204240203,40.826557655361924,0.0,,
ISL,Iceland,19.607161612326802,35.15958008730567,7.265350809605538,54.766741699632476,62.03209250923801,35.80121987147243,11.71224525196141,,
ISR,Israel,21.639193687456565,45.396926855586834,12.639648210212727,67.0361205430434,79.67576875325612,32.27990151005561,15.863854730232747,,
ITA,Italy,74.61588934590985,73.66981500165627,8.58321874286882,148.28570434756614,156.86892309043495,50.31900389468295,5.471586451779612,,
JAM,Jamaica,0.0,0.10343584714294096,0.0,0.10343584714294096,0.10343584714294096,0.0,0.0,,
JOR,Jordan,0.05555555555555555,0.46979166666666666,0.0,0.5253472222222222,0.5253472222222222,10.575016523463319,0.0,,
JPN,Japan,16.660661579264147,89.18091493774057,13.387957150320151,105.84157651700471,119.22953366732486,15.741131346987649,11.228725583776356,,
KAZ,Kazakhstan,0.06625559625559627,0.015925925925925927,0.013333333333333334,0.08218152218152219,0.09551485551485553,80.6210380348653,13.95943412306119,,
KEN,Kenya,0.06453634085213032,0.9177758773734006,0.24439161629564105,0.9823122182255309,1.226703834521172,6.569839981091765,19.92262593611572,,
