coauthor_count,n_authors,author_share_percent,survival_percent
0,175,0.2527550298250935,100.0
1,608,0.8781431893351821,99.7472449701749
2,1238,1.7880612967055187,98.86910178083973
3,2013,2.9074050002166474,97.0810404841342
4,2734,3.9487557230960326,94.17363548391756
5,3059,4.418157921342635,90.22487976082152
6,3041,4.392160261132053,85.8067218394789
7,3209,4.634805089764144,81.41456157834683
8,3028,4.373384173202189,76.77975648858269
9,2644,3.8187674220431274,72.40637231538051
10,2185,3.1558270866733107,68.58760489333737
11,2183,3.1529384577610235,65.43177780666407
12,1979,2.858298308707772,62.27883934890304
13,1855,2.6792033161459914,59.420541040195275
14,1694,2.446668688706905,56.74133772404928
15,1458,2.105810477057065,54.29466903534237
16,1287,1.858832705056545,52.18885855828531
17,1232,1.7793954099686584,50.33002585322876
18,1154,1.6667388823894738,48.550630443260104
19,1208,1.744731863021217,46.88389156087063
20,1013,1.4630905440732556,45.139159697849415
21,1055,1.5237517512312782,43.67606915377616
22,955,1.379320305616939,42.15231740254488
23,921,1.3302136141080636,40.772997096927945
24,817,1.1800049106691508,39.44278348281988
25,567,0.818926296633303,38.26277857215073
26,558,0.8059274665280125,37.44385227551743
27,595,0.8593671014053179,36.63792480898941
28,588,0.8492569002123143,35.77855770758409
29,520,0.7510435171945636,34.92930080737178
30,525,0.7582650894752806,34.178257290177214
31,489,0.7062697690541184,33.419992200701934
32,427,0.6167222727732282,32.71372243164782
33,347,0.5011771162817569,32.09700015887459
34,522,0.7539321461068503,31.595823042592833
35,394,0.5690598957204963,30.84189089648598
36,409,0.5907246125626472,30.272831000765485
37,293,0.4231841356500137,29.68210638820284
38,411,0.5936132414749339,29.258922252552825
39,298,0.4304057079307307,28.66530901107789
40,308,0.4448488524921646,28.23490330314716
41,239,0.3451911550182706,27.790054450654996
42,209,0.3018617213339688,27.444863295636726
43,239,0.3451911550182706,27.143001574302758
44,257,0.3711888152288516,26.797810419284488
45,193,0.27875269003567454,26.426621604055637
46,188,0.2715311177549576,26.14786891401996
47,194,0.28019700449181795,25.876337796265002
48,149,0.21520285396536534,25.596140791773184
49,168,0.24264482863208978,25.38093793780782
50,177,0.2556436587373803,25.13829310917573
51,199,0.2874185767725349,24.88264945043835
52,118,0.1704291058249202,24.595230873665816
