plot_node,group_authors,leading_value,leading_value_authors,leading_value_share,top_three
Community 1,6959,University Medical Center Groningen,137,0.01968673660008622,"University Medical Center Groningen (137, 2.0%); University of Michigan-Ann Arbor (127, 1.8%); University of North Carolina at Chapel Hill (120, 1.7%)"
Community 10,1519,National Institutes of Health,68,0.04476629361421988,"National Institutes of Health (68, 4.5%); Queen Mary University of London (55, 3.6%); Stanford University (51, 3.4%)"
Community 11,1505,Massachusetts General Hospital,146,0.09700996677740864,"Massachusetts General Hospital (146, 9.7%); Broad Institute (111, 7.4%); Yale University (69, 4.6%)"
Community 12,1497,University of Glasgow,222,0.14829659318637275,"University of Glasgow (222, 14.8%); King's College London (178, 11.9%); University of Edinburgh (136, 9.1%)"
Community 2,3657,National Cancer Institute,162,0.044298605414273995,"National Cancer Institute (162, 4.4%); International Agency for Research on Cancer (79, 2.2%); University of Oxford (67, 1.8%)"
Community 3,2646,University of Oslo,119,0.04497354497354497,"University of Oslo (119, 4.5%); Wellcome Centre for Integrative Neuroimaging (67, 2.5%); King's College London (66, 2.5%)"
Community 4,2207,Princess Royal Hospital,36,0.016311735387403714,"Princess Royal Hospital (36, 1.6%); University of Oxford (35, 1.6%); University of Siena (31, 1.4%)"
Community 5,2086,University of Cambridge,226,0.10834132310642378,"University of Cambridge (226, 10.8%); Wellcome Sanger Institute (91, 4.4%); University of Hong Kong (88, 4.2%)"
Community 6,1948,Stanford University,249,0.12782340862422997,"Stanford University (249, 12.8%); University of Pennsylvania (179, 9.2%); Universitätsklinikum Aachen (73, 3.7%)"
Community 7,1819,University College London,141,0.07751511819681144,"University College London (141, 7.8%); King's College London (131, 7.2%); Imperial College London (107, 5.9%)"
Community 8,1649,University of Leeds,84,0.050939963614311703,"University of Leeds (84, 5.1%); University of California, San Francisco (66, 4.0%); University of Melbourne (49, 3.0%)"
Community 9,1520,University of Leicester,93,0.06118421052631579,"University of Leicester (93, 6.1%); University of Pittsburgh (41, 2.7%); Unknown institution (40, 2.6%)"
Other communities,40225,Southern Medical University,709,0.017625854568054693,"Southern Medical University (709, 1.8%); Zhejiang University (638, 1.6%); University of Oxford (535, 1.3%)"
