plot_node,modal_for_l4,n_authors,group_authors,author_share,rank
Community 1,Genetics,3654,6959,0.5250754418738325,1
Community 1,Epidemiology,1271,6959,0.18264118407817215,2
Community 1,Clinical Sciences,619,6959,0.08894956171863773,3
Community 1,Biological Psychology,460,6959,0.06610145135795373,4
Community 1,Cardiovascular Medicine and Haematology,325,6959,0.04670211237246731,5
Community 1,Medical Biochemistry and Metabolomics,96,6959,0.013795085500790344,6
Community 1,Public Health,52,6959,0.00747233797959477,7
Community 1,Pharmacology and Pharmaceutical Sciences,42,6959,0.006035349906595776,8
Community 1,Biochemistry and Cell Biology,41,6959,0.005891651099295876,9
Community 1,Bioinformatics and Computational Biology,41,6959,0.005891651099295876,10
Community 1,Medical Physiology,36,6959,0.005173157062796379,11
Community 1,Reproductive Medicine,35,6959,0.0050294582554964795,12
Community 1,Unclassified,34,6959,0.00488575944819658,13
Community 1,Nutrition and Dietetics,32,6959,0.0045983618335967815,14
Community 1,Immunology,28,6959,0.0040235666043971835,15
Community 1,Evolutionary Biology,25,6959,0.0035924701824974854,16
Community 1,Oncology and Carcinogenesis,25,6959,0.0035924701824974854,17
Community 1,Ophthalmology and Optometry,20,6959,0.0028739761459979883,18
Community 1,Health Services and Systems,18,6959,0.0025865785313981893,19
Community 1,Dentistry,12,6959,0.001724385687598793,20
Community 1,Machine Learning,12,6959,0.001724385687598793,21
Community 1,Allied Health and Rehabilitation Science,10,6959,0.0014369880729989942,22
Community 1,Anthropology,10,6959,0.0014369880729989942,23
Community 1,Applied and Developmental Psychology,10,6959,0.0014369880729989942,24
Community 1,Ecological Applications,10,6959,0.0014369880729989942,25
Community 1,Agricultural Biotechnology,8,6959,0.0011495904583991954,26
Community 1,Statistics,6,6959,0.0008621928437993965,27
Community 1,Ecology,5,6959,0.0007184940364994971,28
Community 1,Demography,4,6959,0.0005747952291995977,29
Community 1,Clinical and Health Psychology,3,6959,0.00043109642189969824,30
Community 1,Sports Science and Exercise,3,6959,0.00043109642189969824,31
Community 1,Analytical Chemistry,2,6959,0.00028739761459979884,32
Community 1,Data Management and Data Science,2,6959,0.00028739761459979884,33
Community 1,Midwifery,2,6959,0.00028739761459979884,34
Community 1,Neurosciences,2,6959,0.00028739761459979884,35
Community 1,Applied Economics,1,6959,0.00014369880729989942,36
Community 1,Biomedical Engineering,1,6959,0.00014369880729989942,37
Community 1,Food Sciences,1,6959,0.00014369880729989942,38
Community 1,Social and Personality Psychology,1,6959,0.00014369880729989942,39
Community 10,Clinical Sciences,340,1519,0.2238314680710994,1
Community 10,Genetics,331,1519,0.21790651744568795,2
Community 10,Epidemiology,273,1519,0.17972350230414746,3
Community 10,Biological Psychology,159,1519,0.10467412771560237,4
Community 10,Neurosciences,100,1519,0.06583278472679395,5
Community 10,Biochemistry and Cell Biology,83,1519,0.05464121132323897,6
Community 10,Unclassified,83,1519,0.05464121132323897,7
Community 10,Medical Biochemistry and Metabolomics,40,1519,0.026333113890717578,8
Community 10,Health Services and Systems,35,1519,0.02304147465437788,9
Community 10,Statistics,12,1519,0.007899934167215274,10
Community 10,Reproductive Medicine,11,1519,0.007241606319947334,11
Community 10,Cardiovascular Medicine and Haematology,10,1519,0.0065832784726793945,12
Community 10,Bioinformatics and Computational Biology,9,1519,0.005924950625411455,13
Community 10,Ophthalmology and Optometry,9,1519,0.005924950625411455,14
Community 10,Oncology and Carcinogenesis,7,1519,0.004608294930875576,15
Community 10,Medicinal and Biomolecular Chemistry,5,1519,0.0032916392363396972,16
Community 10,Immunology,4,1519,0.0026333113890717576,17
Community 10,Analytical Chemistry,3,1519,0.0019749835418038184,18
Community 10,Machine Learning,3,1519,0.0019749835418038184,19
Community 10,Econometrics,1,1519,0.0006583278472679394,20
Community 10,Pharmacology and Pharmaceutical Sciences,1,1519,0.0006583278472679394,21
Community 11,Cardiovascular Medicine and Haematology,336,1505,0.22325581395348837,1
Community 11,Genetics,334,1505,0.22192691029900333,2
Community 11,Epidemiology,304,1505,0.2019933554817276,3
Community 11,Clinical Sciences,144,1505,0.09568106312292358,4
Community 11,Bioinformatics and Computational Biology,67,1505,0.04451827242524917,5
Community 11,Oncology and Carcinogenesis,43,1505,0.02857142857142857,6
Community 11,Ophthalmology and Optometry,40,1505,0.026578073089700997,7
Community 11,Biochemistry and Cell Biology,31,1505,0.020598006644518274,8
Community 11,Biological Psychology,27,1505,0.017940199335548173,9
Community 11,Sports Science and Exercise,27,1505,0.017940199335548173,10
Community 11,Medical Biochemistry and Metabolomics,22,1505,0.014617940199335547,11
Community 11,Health Services and Systems,19,1505,0.012624584717607974,12
Community 11,Medical Physiology,17,1505,0.011295681063122924,13
Community 11,Reproductive Medicine,17,1505,0.011295681063122924,14
Community 11,Medical Biotechnology,15,1505,0.009966777408637873,15
Community 11,Unclassified,15,1505,0.009966777408637873,16
Community 11,Medical Microbiology,13,1505,0.008637873754152824,17
Community 11,"Graphics, Augmented Reality and Games",11,1505,0.007308970099667774,18
Community 11,Public Health,6,1505,0.003986710963455149,19
Community 11,Fluid Mechanics and Thermal Engineering,5,1505,0.0033222591362126247,20
Community 11,Machine Learning,4,1505,0.0026578073089701,21
Community 11,Nutrition and Dietetics,2,1505,0.00132890365448505,22
Community 11,Pharmacology and Pharmaceutical Sciences,2,1505,0.00132890365448505,23
Community 11,Statistics,2,1505,0.00132890365448505,24
Community 11,Allied Health and Rehabilitation Science,1,1505,0.000664451827242525,25
Community 11,Clinical and Health Psychology,1,1505,0.000664451827242525,26
Community 12,Biological Psychology,396,1497,0.26452905811623245,1
Community 12,Clinical Sciences,334,1497,0.22311289245156982,2
Community 12,Epidemiology,166,1497,0.11088844355377421,3
Community 12,Health Services and Systems,115,1497,0.07682030728122913,4
Community 12,Genetics,111,1497,0.07414829659318638,5
Community 12,Public Health,104,1497,0.06947227788911156,6
Community 12,Nutrition and Dietetics,68,1497,0.04542418169672679,7
Community 12,Cardiovascular Medicine and Haematology,52,1497,0.03473613894455578,8
Community 12,Biochemistry and Cell Biology,35,1497,0.02338009352037408,9
Community 12,Pharmacology and Pharmaceutical Sciences,16,1497,0.01068804275217101,10
Community 12,Unclassified,12,1497,0.008016032064128256,11
Community 12,Clinical and Health Psychology,10,1497,0.006680026720106881,12
Community 12,Dentistry,9,1497,0.006012024048096192,13
Community 12,Social and Personality Psychology,9,1497,0.006012024048096192,14
Community 12,Oncology and Carcinogenesis,8,1497,0.005344021376085505,15
Community 12,Public Law,7,1497,0.004676018704074816,16
Community 12,Reproductive Medicine,7,1497,0.004676018704074816,17
Community 12,"Agriculture, Land and Farm Management",6,1497,0.004008016032064128,18
Community 12,Applied and Developmental Psychology,6,1497,0.004008016032064128,19
Community 12,Immunology,5,1497,0.0033400133600534404,20
Community 12,"Graphics, Augmented Reality and Games",3,1497,0.002004008016032064,21
Community 12,Neurosciences,3,1497,0.002004008016032064,22
Community 12,Statistics,3,1497,0.002004008016032064,23
Community 12,Allied Health and Rehabilitation Science,2,1497,0.0013360053440213762,24
Community 12,Medical Biochemistry and Metabolomics,2,1497,0.0013360053440213762,25
Community 12,Ophthalmology and Optometry,2,1497,0.0013360053440213762,26
Community 12,Policy and Administration,2,1497,0.0013360053440213762,27
Community 12,Human Resources and Industrial Relations,1,1497,0.0006680026720106881,28
Community 12,Machine Learning,1,1497,0.0006680026720106881,29
Community 12,Midwifery,1,1497,0.0006680026720106881,30
Community 12,Social Work,1,1497,0.0006680026720106881,31
Community 2,Oncology and Carcinogenesis,1102,3657,0.30133989608969103,1
Community 2,Genetics,980,3657,0.26797921793820073,2
Community 2,Epidemiology,629,3657,0.17199890620727373,3
Community 2,Clinical Sciences,385,3657,0.10527754990429314,4
Community 2,Cardiovascular Medicine and Haematology,122,3657,0.03336067815149029,5
Community 2,Nutrition and Dietetics,118,3657,0.03226688542521192,6
Community 2,Health Services and Systems,102,3657,0.02789171452009844,7
Community 2,Public Health,43,3657,0.01175827180749248,8
Community 2,Immunology,33,3657,0.009023789991796555,9
Community 2,Medical Biochemistry and Metabolomics,25,3657,0.006836204539239814,10
Community 2,Biochemistry and Cell Biology,22,3657,0.006015859994531037,11
Community 2,Unclassified,20,3657,0.005468963631391851,12
Community 2,Reproductive Medicine,17,3657,0.004648619086683074,13
Community 2,Pharmacology and Pharmaceutical Sciences,11,3657,0.0030079299972655183,14
