authorship_role,Female,Male,Unknown,classified,total,female_name_share,unknown_name_share,female_name_ci_low,female_name_ci_high
First author,7458.0,9328.0,6327.0,16786.0,23113.0,44.42988204456094,27.37420499286116,43.67956185825957,45.18275107908159
Last author,5602.0,11980.0,5531.0,17582.0,23113.0,31.862131725628483,23.930255700255266,31.17743293020152,32.554754608649915
Middle author,72781.0,110392.0,44910.0,183173.0,228083.0,39.733476003559474,19.690200497187426,39.50959775423313,39.95778485785585
Single author,69.0,175.0,50.0,244.0,294.0,28.278688524590162,17.006802721088434,22.99846514751626,34.23225787018199
Corresponding author,6889.0,12344.0,7344.0,19233.0,26577.0,35.818645037175685,27.632915678970537,35.14392278737402,36.49903111606573
