community,group_authors,leading_value,leading_value_authors,leading_value_share,top_three
56,163,Unknown,90,0.5521472392638037,"Unknown (90, 55.2%); Female (38, 23.3%); Male (35, 21.5%)"
57,142,Unknown,69,0.4859154929577465,"Unknown (69, 48.6%); Female (38, 26.8%); Male (35, 24.6%)"
58,137,Unknown,71,0.5182481751824818,"Unknown (71, 51.8%); Female (34, 24.8%); Male (32, 23.4%)"
59,132,Male,70,0.5303030303030303,"Male (70, 53.0%); Female (48, 36.4%); Unknown (14, 10.6%)"
60,130,Male,80,0.6153846153846154,"Male (80, 61.5%); Female (39, 30.0%); Unknown (11, 8.5%)"
61,118,Unknown,64,0.5423728813559322,"Unknown (64, 54.2%); Female (32, 27.1%); Male (22, 18.6%)"
62,117,Male,62,0.5299145299145299,"Male (62, 53.0%); Female (46, 39.3%); Unknown (9, 7.7%)"
63,117,Unknown,65,0.5555555555555556,"Unknown (65, 55.6%); Male (34, 29.1%); Female (18, 15.4%)"
64,113,Unknown,48,0.4247787610619469,"Unknown (48, 42.5%); Female (44, 38.9%); Male (21, 18.6%)"
65,111,Unknown,68,0.6126126126126126,"Unknown (68, 61.3%); Female (27, 24.3%); Male (16, 14.4%)"
66,104,Male,67,0.6442307692307693,"Male (67, 64.4%); Female (37, 35.6%)"
67,103,Unknown,69,0.6699029126213593,"Unknown (69, 67.0%); Female (17, 16.5%); Male (17, 16.5%)"
68,98,Unknown,55,0.5612244897959183,"Unknown (55, 56.1%); Male (22, 22.4%); Female (21, 21.4%)"
69,98,Female,41,0.41836734693877553,"Female (41, 41.8%); Male (35, 35.7%); Unknown (22, 22.4%)"
70,92,Male,54,0.5869565217391305,"Male (54, 58.7%); Female (28, 30.4%); Unknown (10, 10.9%)"
71,92,Unknown,51,0.5543478260869565,"Unknown (51, 55.4%); Female (26, 28.3%); Male (15, 16.3%)"
72,85,Male,41,0.4823529411764706,"Male (41, 48.2%); Female (34, 40.0%); Unknown (10, 11.8%)"
73,85,Male,41,0.4823529411764706,"Male (41, 48.2%); Female (38, 44.7%); Unknown (6, 7.1%)"
74,77,Unknown,42,0.5454545454545454,"Unknown (42, 54.5%); Male (23, 29.9%); Female (12, 15.6%)"
75,72,Male,33,0.4583333333333333,"Male (33, 45.8%); Female (25, 34.7%); Unknown (14, 19.4%)"
76,72,Unknown,38,0.5277777777777778,"Unknown (38, 52.8%); Female (18, 25.0%); Male (16, 22.2%)"
77,70,Unknown,33,0.4714285714285714,"Unknown (33, 47.1%); Male (22, 31.4%); Female (15, 21.4%)"
78,65,Unknown,33,0.5076923076923077,"Unknown (33, 50.8%); Female (23, 35.4%); Male (9, 13.8%)"
79,63,Male,33,0.5238095238095238,"Male (33, 52.4%); Female (22, 34.9%); Unknown (8, 12.7%)"
80,62,Unknown,31,0.5,"Unknown (31, 50.0%); Male (18, 29.0%); Female (13, 21.0%)"
81,61,Male,46,0.7540983606557377,"Male (46, 75.4%); Female (10, 16.4%); Unknown (5, 8.2%)"
82,56,Female,37,0.6607142857142857,"Female (37, 66.1%); Male (16, 28.6%); Unknown (3, 5.4%)"
83,55,Unknown,31,0.5636363636363636,"Unknown (31, 56.4%); Female (16, 29.1%); Male (8, 14.5%)"
84,54,Unknown,25,0.46296296296296297,"Unknown (25, 46.3%); Female (18, 33.3%); Male (11, 20.4%)"
85,49,Male,41,0.8367346938775511,"Male (41, 83.7%); Unknown (7, 14.3%); Female (1, 2.0%)"
86,49,Unknown,23,0.46938775510204084,"Unknown (23, 46.9%); Female (15, 30.6%); Male (11, 22.4%)"
87,49,Male,30,0.6122448979591837,"Male (30, 61.2%); Female (15, 30.6%); Unknown (4, 8.2%)"
88,48,Unknown,30,0.625,"Unknown (30, 62.5%); Male (11, 22.9%); Female (7, 14.6%)"
89,48,Unknown,32,0.6666666666666666,"Unknown (32, 66.7%); Male (10, 20.8%); Female (6, 12.5%)"
90,43,Unknown,21,0.4883720930232558,"Unknown (21, 48.8%); Female (13, 30.2%); Male (9, 20.9%)"
91,43,Unknown,22,0.5116279069767442,"Unknown (22, 51.2%); Male (16, 37.2%); Female (5, 11.6%)"
92,39,Unknown,20,0.5128205128205128,"Unknown (20, 51.3%); Male (10, 25.6%); Female (9, 23.1%)"
93,38,Male,28,0.7368421052631579,"Male (28, 73.7%); Female (5, 13.2%); Unknown (5, 13.2%)"
94,38,Unknown,23,0.6052631578947368,"Unknown (23, 60.5%); Male (9, 23.7%); Female (6, 15.8%)"
95,37,Unknown,27,0.7297297297297297,"Unknown (27, 73.0%); Male (8, 21.6%); Female (2, 5.4%)"
96,36,Unknown,14,0.3888888888888889,"Unknown (14, 38.9%); Male (13, 36.1%); Female (9, 25.0%)"
97,36,Unknown,17,0.4722222222222222,"Unknown (17, 47.2%); Male (10, 27.8%); Female (9, 25.0%)"
98,35,Female,16,0.45714285714285713,"Female (16, 45.7%); Unknown (15, 42.9%); Male (4, 11.4%)"
99,34,Unknown,19,0.5588235294117647,"Unknown (19, 55.9%); Female (12, 35.3%); Male (3, 8.8%)"
100,34,Unknown,22,0.6470588235294118,"Unknown (22, 64.7%); Female (6, 17.6%); Male (6, 17.6%)"
101,33,Unknown,17,0.5151515151515151,"Unknown (17, 51.5%); Female (10, 30.3%); Male (6, 18.2%)"
102,33,Unknown,17,0.5151515151515151,"Unknown (17, 51.5%); Male (9, 27.3%); Female (7, 21.2%)"
103,32,Male,19,0.59375,"Male (19, 59.4%); Female (12, 37.5%); Unknown (1, 3.1%)"
104,32,Female,16,0.5,"Female (16, 50.0%); Male (15, 46.9%); Unknown (1, 3.1%)"
105,31,Unknown,18,0.5806451612903226,"Unknown (18, 58.1%); Female (8, 25.8%); Male (5, 16.1%)"
106,31,Unknown,14,0.45161290322580644,"Unknown (14, 45.2%); Female (12, 38.7%); Male (5, 16.1%)"
107,31,Male,20,0.6451612903225806,"Male (20, 64.5%); Female (8, 25.8%); Unknown (3, 9.7%)"
108,30,Female,14,0.4666666666666667,"Female (14, 46.7%); Male (14, 46.7%); Unknown (2, 6.7%)"
109,29,Unknown,15,0.5172413793103449,"Unknown (15, 51.7%); Male (12, 41.4%); Female (2, 6.9%)"
110,29,Unknown,14,0.4827586206896552,"Unknown (14, 48.3%); Female (10, 34.5%); Male (5, 17.2%)"
111,29,Unknown,13,0.4482758620689655,"Unknown (13, 44.8%); Female (10, 34.5%); Male (6, 20.7%)"
112,29,Unknown,15,0.5172413793103449,"Unknown (15, 51.7%); Male (8, 27.6%); Female (6, 20.7%)"
113,28,Unknown,17,0.6071428571428571,"Unknown (17, 60.7%); Male (7, 25.0%); Female (4, 14.3%)"
114,28,Male,15,0.5357142857142857,"Male (15, 53.6%); Female (9, 32.1%); Unknown (4, 14.3%)"
115,27,Male,20,0.7407407407407407,"Male (20, 74.1%); Female (6, 22.2%); Unknown (1, 3.7%)"
116,27,Unknown,16,0.5925925925925926,"Unknown (16, 59.3%); Male (7, 25.9%); Female (4, 14.8%)"
117,26,Unknown,15,0.5769230769230769,"Unknown (15, 57.7%); Male (6, 23.1%); Female (5, 19.2%)"
118,26,Female,12,0.46153846153846156,"Female (12, 46.2%); Male (10, 38.5%); Unknown (4, 15.4%)"
119,25,Male,14,0.56,"Male (14, 56.0%); Female (8, 32.0%); Unknown (3, 12.0%)"
120,25,Male,10,0.4,"Male (10, 40.0%); Unknown (9, 36.0%); Female (6, 24.0%)"
121,25,Unknown,12,0.48,"Unknown (12, 48.0%); Male (8, 32.0%); Female (5, 20.0%)"
122,24,Unknown,12,0.5,"Unknown (12, 50.0%); Female (7, 29.2%); Male (5, 20.8%)"
123,24,Unknown,14,0.5833333333333334,"Unknown (14, 58.3%); Female (7, 29.2%); Male (3, 12.5%)"
124,23,Unknown,11,0.4782608695652174,"Unknown (11, 47.8%); Male (7, 30.4%); Female (5, 21.7%)"
125,23,Female,9,0.391304347826087,"Female (9, 39.1%); Unknown (8, 34.8%); Male (6, 26.1%)"
126,23,Unknown,17,0.7391304347826086,"Unknown (17, 73.9%); Male (4, 17.4%); Female (2, 8.7%)"
127,22,Unknown,10,0.45454545454545453,"Unknown (10, 45.5%); Male (9, 40.9%); Female (3, 13.6%)"
128,22,Male,14,0.6363636363636364,"Male (14, 63.6%); Female (8, 36.4%)"
129,21,Unknown,9,0.42857142857142855,"Unknown (9, 42.9%); Female (6, 28.6%); Male (6, 28.6%)"
130,21,Unknown,14,0.6666666666666666,"Unknown (14, 66.7%); Male (4, 19.0%); Female (3, 14.3%)"
131,21,Unknown,13,0.6190476190476191,"Unknown (13, 61.9%); Female (6, 28.6%); Male (2, 9.5%)"
132,21,Male,10,0.47619047619047616,"Male (10, 47.6%); Female (8, 38.1%); Unknown (3, 14.3%)"
133,21,Unknown,12,0.5714285714285714,"Unknown (12, 57.1%); Female (7, 33.3%); Male (2, 9.5%)"
134,21,Female,10,0.47619047619047616,"Female (10, 47.6%); Male (10, 47.6%); Unknown (1, 4.8%)"
135,21,Male,11,0.5238095238095238,"Male (11, 52.4%); Female (5, 23.8%); Unknown (5, 23.8%)"
136,21,Unknown,10,0.47619047619047616,"Unknown (10, 47.6%); Female (7, 33.3%); Male (4, 19.0%)"
137,21,Unknown,9,0.42857142857142855,"Unknown (9, 42.9%); Male (8, 38.1%); Female (4, 19.0%)"
