year,scenario,n_papers,largest_team,n_nodes,n_edges,n_components,n_isolates,giant_nodes,giant_edges,giant_density,giant_fraction,mean_degree,avg_degree,median_degree,max_degree,density,mean_tie_strength,avg_tie_strength,median_tie_strength,max_tie_strength,n_weak_ties,n_strong_ties,weak_tie_ratio,mean_fractional_strength
2013,All papers,5,14,31,132,4,0,14,91,1.0,0.45161290322580644,8.516129032258064,8.516129032258064,6.0,13,0.2838709677419355,1.6893939971923828,1.6893939971923828,2.0,2.0,132,0,1.0,1.451612949371338
2013,Teams <= 100,5,14,31,132,4,0,14,91,1.0,0.45161290322580644,8.516129032258064,8.516129032258064,6.0,13,0.2838709677419355,1.6893939971923828,1.6893939971923828,2.0,2.0,132,0,1.0,1.451612949371338
2014,All papers,32,47,185,1825,14,0,64,1200,0.5952380952380952,0.34594594594594597,19.72972972972973,19.72972972972973,12.0,59,0.1072267920094007,1.2000000476837158,1.2000000476837158,1.0,6.0,1675,150,0.9178082191780822,1.5405405759811401
2014,Teams <= 100,32,47,185,1825,14,0,64,1200,0.5952380952380952,0.34594594594594597,19.72972972972973,19.72972972972973,12.0,59,0.1072267920094007,1.2000000476837158,1.2000000476837158,1.0,6.0,1675,150,0.9178082191780822,1.5405405759811401
2015,All papers,95,150,764,24992,17,2,640,24340,0.11903364632237871,0.837696335078534,65.42408376963351,65.42408376963351,46.0,290,0.08574585028785518,1.04509437084198,1.04509437084198,1.0,9.0,24382,610,0.9755921895006402,1.4725130796432495
2015,Teams <= 100,94,84,642,13947,18,2,511,13274,0.10186869268255247,0.7959501557632399,43.44859813084112,43.44859813084112,30.0,170,0.06778252438508756,1.071484923362732,1.071484923362732,1.0,9.0,13465,482,0.9654405965440597,1.5186915397644043
2016,All papers,255,247,1818,104856,21,3,1669,103997,0.07471338686989294,0.918041804180418,115.35313531353135,115.35313531353135,46.0,666,0.06348548999093635,1.56806480884552,1.56806480884552,1.0,34.0,65919,38937,0.6286621652552071,2.2915291786193848
2016,Teams <= 100,248,84,1396,27533,22,3,1245,26673,0.03444388486421571,0.8918338108882522,39.44555873925501,39.44555873925501,27.0,238,0.028276386193014348,1.225874423980713,1.225874423980713,1.0,34.0,24663,2870,0.8957614498964879,2.0408308506011963
2017,All papers,565,375,3955,330351,42,5,3645,328691,0.04949278668431411,0.9216182048040455,167.05486725663718,167.05486725663718,59.0,1513,0.04224958706541152,1.4511140584945679,1.4511140584945679,1.0,57.0,234529,95822,0.7099388226462157,2.4614412784576416
2017,Teams <= 100,548,100,2930,62471,44,5,2607,60777,0.01789179083057863,0.8897610921501706,42.642320819112626,42.642320819112626,24.0,463,0.014558661938925445,1.203742504119873,1.203742504119873,1.0,55.0,56528,5943,0.9048678586864305,2.1344709396362305
2018,All papers,1178,521,7482,708294,57,11,7120,706720,0.027885497110912243,0.9516172146484897,189.33279871692062,189.33279871692062,72.0,2188,0.025308487998518998,1.4183220863342285,1.4183220863342285,1.0,73.0,528108,180186,0.745605638336623,2.769446611404419
2018,Teams <= 100,1141,100,5425,125130,62,11,4980,122957,0.009917718675465067,0.9179723502304148,46.130875576036864,46.130875576036864,27.0,732,0.008504954936584968,1.3080157041549683,1.3080157041549683,1.0,68.0,103634,21496,0.8282106609126508,2.484055280685425
