year,scenario,n_papers,largest_team,n_nodes,n_edges,n_components,n_isolates,giant_nodes,giant_edges,giant_density,giant_fraction,mean_degree,avg_degree,median_degree,max_degree,density,mean_tie_strength,avg_tie_strength,median_tie_strength,max_tie_strength,n_weak_ties,n_strong_ties,weak_tie_ratio,mean_fractional_strength
2019,All papers,2193,521,11247,1010986,94,15,10658,1008599,0.01775979086038278,0.9476304792389082,179.77878545389882,179.77878545389882,54.0,2915,0.015986020403156574,1.543599009513855,1.543599009513855,1.0,103.0,711383,299603,0.7036526717481746,3.1830711364746094
2019,Teams <= 100,2136,100,8797,208946,100,16,8161,206358,0.006197517605253105,0.9277026258951916,47.503921791519836,47.503921791519836,26.0,875,0.0054006277616552795,1.424181342124939,1.424181342124939,1.0,95.0,159260,49686,0.7622065031156375,2.813572883605957
2020,All papers,3818,958,17097,1619054,161,17,16067,1615327,0.012515490983151276,0.9397555126630402,189.39626835117272,189.39626835117272,40.0,3150,0.011078396604537478,1.413630485534668,1.413630485534668,1.0,108.0,1268802,350252,0.7836687349526328,3.211498975753784
2020,Teams <= 100,3749,100,13847,323478,173,18,12724,319300,0.003944715863462969,0.918899400592186,46.72174478226331,46.72174478226331,23.0,1127,0.0033743857274493214,1.4832013845443726,1.4832013845443726,1.0,100.0,238398,85080,0.7369836588577894,2.9992778301239014
2021,All papers,6079,958,23011,1906158,244,21,21586,1901282,0.008161167784754663,0.9380730954760766,165.6736343487897,165.6736343487897,32.0,3662,0.007200071027761395,1.4641677141189575,1.4641677141189575,1.0,109.0,1456514,449644,0.7641097957252232,3.4696884155273438
2021,Teams <= 100,5995,100,19467,440582,258,21,17904,434897,0.002713566859678786,0.9197102789335799,45.26449889556686,45.26449889556686,21.0,1385,0.0023253107415784884,1.5406054258346558,1.5406054258346558,1.0,101.0,319390,121192,0.724927482284796,3.2758514881134033
2022,All papers,8848,958,31084,2256883,363,29,28820,2247896,0.005412941415032911,0.9271651010166002,145.21187749324412,145.21187749324412,26.0,3937,0.004671745889819005,1.5588269233703613,1.5588269233703613,1.0,110.0,1646393,610490,0.7294986049343276,3.5387980937957764
2022,Teams <= 100,8748,100,27184,594084,379,30,24799,584455,0.0019007729801446683,0.9122645673925839,43.70835785756327,43.70835785756327,20.0,1476,0.0016079298774073234,1.5571013689041138,1.5571013689041138,1.0,103.0,431102,162982,0.725658324412036,3.3340935707092285
2023,All papers,12492,1571,41517,3451555,643,54,37574,3438042,0.004870548473484135,0.9050268564684346,166.27188862393717,166.27188862393717,22.0,4336,0.004005007433855313,1.4990466833114624,1.4990466833114624,1.0,111.0,2494088,957467,0.7225983650847226,3.5591204166412354
2023,Teams <= 100,12381,100,36730,744862,667,56,32601,730125,0.0013739745647457463,0.8875850803158182,40.55878028859243,40.55878028859243,18.0,1751,0.0011042712921286294,1.627199411392212,1.627199411392212,1.0,111.0,519128,225734,0.6969452059576137,3.410127878189087
2024,All papers,17343,1571,54250,3674903,1200,96,46827,3650000,0.003329196765307547,0.8631705069124423,135.48029493087557,135.48029493087557,18.0,4516,0.0024973786600836064,1.5187989473342896,1.5187989473342896,1.0,122.0,2650880,1024023,0.7213469307897379,3.5278894901275635
2024,Teams <= 100,17219,100,49292,901629,1228,97,41656,875516,0.001009135256162488,0.845086423760448,36.58317779761422,36.58317779761422,15.0,1945,0.0007421877786535923,1.6556299924850464,1.6556299924850464,1.0,122.0,625491,276138,0.6937343408430741,3.390225648880005
2025,All papers,23098,1571,69237,3929125,1734,175,59091,3896274,0.002231742872705616,0.8534598552796915,113.49784074988807,113.49784074988807,17.0,4796,0.0016392893978549898,1.5605288743972778,1.5605288743972778,1.0,128.0,2775438,1153687,0.7063755925301435,3.4984185695648193
2025,Teams <= 100,22965,100,64132,1087246,1758,175,53813,1053838,0.000727842670107257,0.8390974864342294,33.9065053327512,33.9065053327512,15.0,2092,0.0005287069487884362,1.6788527965545654,1.6788527965545654,1.0,128.0,749595,337651,0.6894437873305581,3.3728716373443604
