top_author_percent,n_authors,fractional_publication_credit,credit_share_percent
1.0,693,4477.045489695164,20.490963519821307
5.0,3462,9608.445199218964,43.97683707091475
10.0,6924,12554.899431296899,57.4624463463396
25.0,17310,16797.610676195178,76.88088682107905
50.0,34619,19937.798456863635,91.25319405073982
