year,annual_education_company,cumulative_education_company,share_education_company_pct,annual_education_government,cumulative_education_government,share_education_government_pct,annual_education_healthcare,cumulative_education_healthcare,share_education_healthcare_pct,annual_education_nonprofit,cumulative_education_nonprofit,share_education_nonprofit_pct
2013,0,0,0.0,1,1,20.0,1,1,20.0,0,0,0.0
2014,0,0,0.0,7,8,25.925925925925924,10,11,37.03703703703704,0,0,0.0
2015,4,4,6.349206349206349,13,21,20.634920634920633,26,37,41.269841269841265,10,10,15.873015873015872
2016,21,25,13.125,29,50,18.125,79,116,49.375,47,57,29.375
2017,41,66,13.225806451612904,51,101,16.451612903225808,141,257,45.483870967741936,64,121,20.64516129032258
2018,80,146,12.987012987012985,95,196,15.422077922077923,291,548,47.24025974025974,162,283,26.2987012987013
2019,101,247,9.872922776148583,154,350,15.053763440860216,465,1013,45.45454545454545,209,492,20.43010752688172
2020,160,407,9.809932556713672,212,562,12.998160637645617,786,1799,48.19129368485592,266,758,16.30901287553648
2021,216,623,9.50285965684118,262,824,11.526616805983283,1085,2884,47.73427188737352,349,1107,15.354157501099868
2022,225,848,8.058739255014327,327,1151,11.712034383954155,1372,4256,49.14040114613181,388,1495,13.896848137535816
2023,216,1064,5.834683954619125,397,1548,10.723933009184226,1892,6148,51.107509454349,437,1932,11.804430037817395
2024,238,1302,4.81002425222312,475,2023,9.59983831851253,2545,8693,51.43492320129345,480,2412,9.700889248181083
2025,244,1546,4.141208418194162,573,2596,9.725050916496945,3149,11842,53.44534962661236,510,2922,8.655804480651732
