period,papers_published,share_of_complete_year_corpus_pct,annual_output_first_year,annual_output_last_year,annual_output_cagr_pct,median_yoy_growth_pct
2013-2017,565,2.4102039075164234,5,310,180.6066263296683,143.65079365079364
2018-2021,5543,23.645593379404488,616,2273,54.52766463390657,59.43304007820136
2022-2025,17334,73.9442027130791,2792,5892,28.267247343760026,32.59312320916905
