period,papers,median_authors,authors_q25,authors_q75,cross_sector_pct,international_pct,preprint_pct
2013-2017,565,8.0,5.0,15.0,55.75221238938053,49.38053097345133,20.17699115044248
2018-2021,5543,8.0,5.0,13.0,55.764026700342775,49.84665343676709,27.945156052679053
2022-2025,17334,8.0,5.0,11.0,57.799700011538015,39.71385715934003,19.23964462905273
