indicator,Altmetric attention,Cross-sector,International,Patent,Clinical trial,Policy document,Dataset
Altmetric attention,1.0,0.5229017335163438,0.44169572798605056,0.030843664953129724,0.011306608622044865,0.022320348415194775,0.07472632079961923
Cross-sector,0.5229017335163438,1.0,0.48326240233754686,0.025154457193292144,0.010836487790395605,0.01695664995576526,0.06357107302851454
International,0.44169572798605056,0.48326240233754686,1.0,0.029487179487179487,0.013215859030837005,0.020924236414121382,0.046488263768380673
Patent,0.030843664953129724,0.025154457193292144,0.029487179487179487,1.0,0.06636500754147813,0.046263345195729534,0.024036054081121683
Clinical trial,0.011306608622044865,0.010836487790395605,0.013215859030837005,0.06636500754147813,1.0,0.07034220532319392,0.00641399416909621
Policy document,0.022320348415194775,0.01695664995576526,0.020924236414121382,0.046263345195729534,0.07034220532319392,1.0,0.011170212765957447
Dataset,0.07472632079961923,0.06357107302851454,0.046488263768380673,0.024036054081121683,0.00641399416909621,0.011170212765957447,1.0
