indicator,percent_of_papers
Clinical trial,0.8275744390410374
Policy document,1.5740977732275403
Patent,2.1883798310724343
Dataset,6.535278559849843
International,42.34280351505844
Cross-sector,57.269004351164575
Altmetric attention,70.52299291869294
