,"2015–2017
foundational entrants","2018–2020
expansion entrants","2021–2023
consolidation entrants","2024–2025
recent entrants"
Unique authors,4464.0,17343.0,31738.0,35117.0
Fractional paper credit,4105.576039719717,5795.022021122893,7376.152791743477,5399.482636432109
Fractional citation credit,282003.01839004416,215833.70102751715,132527.28922108718,28141.293503446712
Top-decile paper credit,1385.8222463792854,1607.360108614101,1796.7447684195483,882.502495023542
First/last-author credit,8395.0,12016.0,14829.0,10117.0
