,"2015–2017
foundational entrants","2018–2020
expansion entrants","2021–2023
consolidation entrants","2024–2025
recent entrants"
Unique authors,0.05034851458347432,0.19560803952087705,0.3579662087478288,0.3960772371478198
Fractional paper credit,0.18105193888164867,0.255554875280736,0.3252812154767965,0.23811197036081888
Fractional citation credit,0.4282471492221824,0.327763042036894,0.20125470332582052,0.04273510541510303
Top-decile paper credit,0.2443084074371058,0.2833636054980523,0.31675047365590675,0.15557751340893516
First/last-author credit,0.18508719712503033,0.2649205194347069,0.32693961240822805,0.22305267103203474
