year,Epidemiology,Clinical Sciences,Genetics,Biological Psychology,Cardiovascular Medicine and Haematology,Public Health,Oncology and Carcinogenesis,Health Services and Systems,Statistics,Nutrition and Dietetics,Neurosciences,Ophthalmology and Optometry,All other categories
2014,8.3333,19.4444,2.7778,0.0,5.5556,25.0,2.7778,8.3333,0.0,8.3333,0.0,5.5556,13.8889
2015,16.5217,11.3043,14.7826,5.2174,1.7391,13.913,3.4783,4.3478,3.4783,1.7391,1.7391,5.2174,16.5217
2016,16.6667,10.4167,23.75,8.75,3.3333,10.8333,0.8333,4.1667,3.75,1.6667,0.8333,2.5,12.5
2017,19.8745,10.4603,24.2678,7.9498,3.3473,8.5774,2.7197,1.6736,4.8117,3.5565,1.2552,0.8368,10.6695
2018,20.2629,10.4053,28.6966,7.3384,3.5049,5.6955,3.3954,2.4096,5.586,1.862,0.5476,0.8762,9.4195
2019,20.713,11.555,22.1266,9.4653,4.7941,4.4868,2.8273,2.5814,4.7326,1.8439,2.0283,1.721,11.1248
2020,19.5889,14.1072,20.3144,6.3684,5.1995,5.6026,4.5949,3.1036,3.9903,3.1036,2.2975,1.0883,10.6409
2021,18.8512,14.9099,18.6679,6.7217,5.4384,5.194,4.308,3.5747,3.8191,2.8414,2.6276,1.3749,11.6712
2022,20.945,14.1987,17.7058,5.8208,4.6274,5.3093,4.2621,3.7263,3.9211,3.0443,2.9469,1.4369,12.0555
2023,19.4398,15.7983,14.8833,7.2269,5.4528,5.6396,3.9029,3.9776,3.0812,2.9879,3.9216,1.5126,12.1755
2024,17.3919,18.1999,12.9554,6.2651,5.9532,4.961,3.7562,3.5719,3.4727,3.9546,3.7279,1.8143,13.9759
2025,16.3929,18.4315,11.5362,6.1518,6.7034,5.7801,4.3051,3.7175,2.1705,3.6935,3.9453,1.9067,15.2656
