l4_code,l4_label,corpus_pairs,code,for_label,api_pairs,diff
4702,Cultural Studies,1,4702,Cultural Studies,1.0,0.0
3301,Architecture,1,3301,Architecture,1.0,0.0
4013,Geomatic Engineering,1,4013,Geomatic Engineering,1.0,0.0
4014,Manufacturing Engineering,1,4014,Manufacturing Engineering,1.0,0.0
3302,Building,1,3302,Building,1.0,0.0
3303,Design,1,3303,Design,1.0,0.0
3709,Physical Geography and Environmental Geoscience,1,3709,Physical Geography and Environmental Geoscience,1.0,0.0
3406,Physical Chemistry,1,3406,Physical Chemistry,1.0,0.0
3407,Theoretical and Computational Chemistry,1,3407,Theoretical and Computational Chemistry,1.0,0.0
4410,Sociology,1,4410,Sociology,1.0,0.0
3705,Geology,1,3705,Geology,1.0,0.0
3506,Marketing,1,3506,Marketing,1.0,0.0
3903,Education Systems,1,3903,Education Systems,1.0,0.0
