L4_name,L2_name,papers,total_citations,mean_citations,total_altmetric,h_index,modal_researcher,unique_researchers,modal_org,unique_orgs,percent_female
Epidemiology,Health Sciences,6930,181499,26.19033189033189,219135.0,177,George Davey Smith,26837,Harvard University,4934,31.333294871055212
Clinical Sciences,Biomedical and Clinical Sciences,6080,114160,18.776315789473685,274179.0,142,Steffen Erhard Petersen,26355,University of Oxford,4877,29.931531531531533
Genetics,Biological Sciences,5777,241304,41.76977670070971,212843.0,222,Kari Stefansson,28263,Harvard University,5569,33.89058823529412
Biological Psychology,Psychology,2405,56677,23.566320166320168,124825.0,104,Andrew Mark Mcintosh,9923,King's College London,2378,33.388088780226916
Cardiovascular Medicine and Haematology,Biomedical and Clinical Sciences,2148,48579,22.615921787709496,98447.0,103,Steffen Erhard Petersen,10749,Harvard University,2406,27.994481971268197
Public Health,Health Sciences,2138,66527,31.11646398503274,176915.0,115,Jill P Pell,8359,University of Oxford,1961,31.987000928505108
Oncology and Carcinogenesis,Biomedical and Clinical Sciences,1522,24846,16.324572930354798,44935.0,69,Marc James Gunter,8020,Harvard University,2019,35.32183976615164
Health Services and Systems,Health Sciences,1336,31870,23.854790419161677,85185.0,77,Jill P Pell,7135,University of Oxford,1735,33.766863236125694
Nutrition and Dietetics,Biomedical and Clinical Sciences,1261,23054,18.282315622521807,79729.0,76,Aurora Perez-Cornago,5893,Harvard University,1637,32.31299212598425
Statistics,Mathematical Sciences,1235,24583,19.905263157894737,15410.0,66,George Davey Smith,4930,University of Bristol,1197,26.689468097653027
