category,share_2013_%,share_2025_%,rank_2013,rank_2025,delta_pp,rank_change
Genetics,0.0,11.54,62,3,11.54,59
Cardiovascular Medicine and Haematology,0.0,6.7,29,4,6.7,25
Biological Psychology,0.0,6.15,25,5,6.15,20
Oncology and Carcinogenesis,0.0,4.31,92,7,4.31,85
Clinical Sciences,14.29,18.43,3,1,4.14,2
Nutrition and Dietetics,0.0,3.69,91,10,3.69,81
Statistics,0.0,2.17,108,12,2.17,96
Health Services and Systems,14.29,3.72,4,9,-10.57,-5
Epidemiology,28.57,16.39,1,2,-12.18,-1
Public Health,28.57,5.78,2,6,-22.79,-4
